施設名,パートナー,所在地,カテゴリ,金額,金額（税抜・万円/年）,状況,住所,GoogleMap,GoogleマップURL,経度,緯度,契約期間（年）,契約期間(詳細）,掲載元URL,備考,,,,,,,,
いわき市【いわき芸術文化交流館アリオス（音楽小ホール）】（愛称：ＪＡ福島さくら音楽小ホール）,福島さくら農業協同組合,福島県,文化交流施設,年額140万円（税抜）,140,契約期間中,福島県いわき市平字三崎1-6,地図を見る,https://www.google.co.jp/maps/search/福島県いわき市平字三崎1-6,140.8895501,37.0497798,2,2年（2026年4月1日～2028年3月31日）,https://www.city.iwaki.lg.jp/www/contents/1764415105827/index.html,なし,,,,,,,,
いわき市【いわきグリーンスタジアム】（愛称：ヨークいわきスタジアム）,株式会社ヨークベニマル,福島県,スポーツ施設,年額510万円（税抜）,510,契約期間中,福島県いわき市常磐湯本町上浅貝110-33,地図を見る,https://www.google.co.jp/maps/search/福島県いわき市常磐湯本町上浅貝110-33,140.8609232,37.0173336,5,5年（2023年10月1日 ? 2028年9月30日）,https://www.city.iwaki.lg.jp/www/contents/1691365908662/index.html,なし,,,,,,,,
いわき市【いわきグリーンフィールド】（愛称：ハワイアンズスタジアムいわき）,常磐興産株式会社,福島県,スポーツ施設,年額500万円（税抜）,500,契約期間中,福島県いわき市常磐水野谷町竜ヶ沢308,地図を見る,https://www.google.co.jp/maps/search/福島県いわき市常磐水野谷町竜ヶ沢308,140.8638299,37.0173169,5,5年（2023年10月1日 ? 2028年9月30日）,https://www.city.iwaki.lg.jp/www/contents/1691365908662/index.html,なし,,,,,,,,
水戸市【水戸市立競技場】（愛称：ケーズデンキスタジアム水戸）,株式会社ケーズホールディングス,茨城県,スポーツ施設,"年額2,000万円（税抜）",2000,契約期間中,茨城県水戸市小吹町2058-1,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市小吹町2058-1,140.4116641,36.34565,5,5年（2025年4月1日～2030年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
水戸市【水戸市民球場】（愛称：ノーブルホームスタジアム水戸）,株式会社ノーブルホーム,茨城県,スポーツ施設,"年額1,500万円（税抜）",1500,契約期間中,茨城県水戸市見川町2256,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市見川町2256,140.4320538,36.3560257,10.75,10年9か月（2018年6月29日～2029年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
水戸市【東町運動公園体育館】（愛称：アダストリアみとアリーナ）,株式会社アダストリア,茨城県,スポーツ施設,"年額1,050万円（税抜）",1050,契約期間中,茨城県水戸市緑町2丁目3-10,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市緑町2丁目3-10,140.4481663,36.3809211,10,10年（2019年4月1日～2029年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
水戸市【青柳公園市民体育館】（愛称：リリーアリーナＭＩＴＯ）,学校法人リリー文化学園,茨城県,スポーツ施設,年額300万円（税抜）,300,契約期間中,茨城県水戸市水府町864-6,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市水府町864-6,140.4833547,36.3795937,5,5年（2024年4月1日～2029年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
水戸市【水戸市民会館大ホール】（愛称：グロービスホール）,株式会社グロービス,茨城県,文化交流施設,年額880万円（税抜）,880,契約期間中,茨城県水戸市泉町1-7-1,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市泉町1-7-1,140.4648731,36.3787424,10,10年（2023年4月1日～2033年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
水戸市【水戸市民会館中ホール】（愛称：ユードムホール）,株式会社ユードム,茨城県,文化交流施設,年額310.55万円（税抜）,311,契約期間中,茨城県水戸市泉町1-7-1,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市泉町1-7-1,140.4648731,36.3787424,10,10年（2023年4月1日～2033年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
水戸市【笠原町下組第3児童遊園】（愛称：アシスト笠原第3児童遊園）,有限会社アシスト,茨城県,教育施設等,年額10万円（税抜）,10,契約期間中,茨城県水戸市笠原町437-20,地図を見る,https://www.google.co.jp/maps/search/茨城県水戸市笠原町437-20,140.4527606,36.3422887,3,3年（2025年4月1日～2028年3月31日）,https://www.city.mito.lg.jp/page/1866.html,なし,,,,,,,,
前橋市【前橋市民文化会館】（愛称：昌賢学園まえばしホール）,学校法人昌賢学園,群馬県,文化交流施設,"年額1,818,182円（税抜）",182,契約期間中,群馬県前橋市南町三丁目62-1,地図を見る,https://www.google.co.jp/maps/search/群馬県前橋市南町三丁目62-1,139.0710924,36.3799019,5,5年（2022年～2027年）,https://www.city.maebashi.gunma.jp/soshiki/zaimu/zaisei/gyomu/3/19374.html,なし,,,,,,,,
前橋市【前橋市民文化会館大胡分館】（愛称：大胡シャンテ マルエホール）,株式会社クスリのマルエ,群馬県,文化交流施設,年額200万円（税抜）,200,契約期間中,群馬県前橋市大胡町15-1,地図を見る,https://www.google.co.jp/maps/search/群馬県前橋市大胡町15-1,139.1588194,36.4173262,2,2年（2025年～2027年）,https://www.city.maebashi.gunma.jp/soshiki/zaimu/zaisei/gyomu/3/19374.html,なし,,,,,,,,
前橋市【宮城総合運動場】（愛称：バニーズ群馬宮城総合運動場）,一般社団法人BGFC,群馬県,スポーツ施設,年額20万円（税抜）,20,契約期間中,群馬県前橋市鼻毛石町2270-1,地図を見る,https://www.google.co.jp/maps/search/群馬県前橋市鼻毛石町2270-1,139.1756203,36.4465042,3,3年（2025年～2027年）,https://www.city.maebashi.gunma.jp/soshiki/zaimu/zaisei/gyomu/3/19374.html,なし,,,,,,,,
